iter	Logloss
0	0.6762274061
5	0.6070671906
10	0.5538773086
15	0.5146492245
20	0.4854946028
25	0.4638326079
30	0.446520149
35	0.4342715481
40	0.4226842655
45	0.4132436059
50	0.4045480056
55	0.3976186522
60	0.3915071744
65	0.386264354
70	0.3835449913
75	0.379847145
80	0.3766416304
85	0.3738243384
90	0.3715617325
95	0.3686741007
100	0.3661326588
105	0.3635630024
110	0.3610621349
115	0.3594961445
120	0.3580676626
125	0.356320349
130	0.3549110317
135	0.3534254263
140	0.3515799518
145	0.3497785236
150	0.3481799441
155	0.346656889
160	0.3452545154
165	0.3442187926
170	0.3430253551
175	0.3415094751
180	0.3403430023
185	0.3391331776
190	0.3382013326
195	0.3371710258
200	0.3362403149
205	0.3357463861
210	0.3350551173
215	0.3347158479
220	0.3335405797
225	0.3327367997
230	0.3322414359
235	0.3310075166
240	0.3301476546
245	0.3293256821
250	0.3286536242
255	0.3280313294
260	0.3269343631
265	0.3258242269
270	0.3252761604
275	0.3246931207
280	0.3239800023
285	0.3233681463
290	0.3227105312
295	0.3220771729
300	0.3212006923
305	0.320600548
310	0.3201741351
315	0.3197500137
320	0.3188856152
325	0.3178720196
330	0.3174949533
335	0.3170562038
340	0.3162502481
345	0.3154555875
350	0.3146618296
355	0.3138872826
360	0.3132920683
365	0.3130355216
370	0.3126563954
375	0.3116826335
380	0.3108143696
385	0.3107723139
390	0.310179854
395	0.3092582625
400	0.3087086914
405	0.3084980889
410	0.308229113
415	0.3076669044
420	0.3071549451
425	0.3066290753
430	0.3060355738
435	0.3056999846
440	0.3048110748
445	0.3042103287
450	0.3035684758
455	0.3033465782
460	0.3029352101
465	0.3021202507
470	0.3014441885
475	0.3006029588
480	0.2998109137
485	0.2989317482
490	0.2986301832
495	0.2977939298
500	0.2973836726
505	0.2968048223
510	0.2963241328
515	0.2958289542
520	0.2954261036
525	0.2953041722
530	0.2946822709
535	0.2943468669
540	0.2939029096
545	0.2933566484
550	0.293232495
555	0.292640984
560	0.292311135
565	0.2922429246
570	0.2917085372
575	0.2910551578
580	0.2905236173
585	0.2899829111
590	0.2893589499
595	0.2891621421
600	0.2884351364
605	0.2879218578
610	0.2873791842
615	0.2868581287
620	0.2864929361
625	0.2864779377
630	0.2858039355
635	0.2855505366
640	0.2853389388
645	0.2850806794
650	0.2848690816
655	0.284379319
660	0.2842348668
665	0.2839191829
670	0.2836674505
675	0.2831385023
680	0.282561411
685	0.2824451966
690	0.2822413063
695	0.2817939698
700	0.2816038511
705	0.2814414379
710	0.2811449881
715	0.2807852579
720	0.2803919434
725	0.2801999037
730	0.2797809206
735	0.2794011
740	0.279369645
745	0.2791079137
750	0.2788164633
755	0.2784755969
760	0.27820838
765	0.2776307333
770	0.2775760863
775	0.277370923
780	0.2773492587
785	0.2772011726
790	0.2768546587
795	0.2767097204
800	0.2763093696
805	0.2758014145
810	0.2754842493
815	0.2752159446
820	0.2748486921
825	0.2746429038
830	0.2744270009
835	0.274419386
840	0.2741528635
845	0.2739872562
850	0.2739125419
855	0.273693306
860	0.2736689568
865	0.2735067982
870	0.2734487488
875	0.2731978728
880	0.2728878827
885	0.2725474098
890	0.2722366559
895	0.2720381817
900	0.272033622
905	0.2715104139
910	0.2713386498
915	0.2712072749
920	0.2712040345
925	0.2712023449
930	0.271087959
935	0.2709352206
940	0.2705535252
945	0.2701751165
950	0.2699107234
955	0.2697943006
960	0.2697647436
965	0.2694236689
970	0.2692247086
975	0.2688613909
980	0.2686192639
985	0.268540152
990	0.2683524637
995	0.2682125018
1000	0.2680356225
1005	0.2676299713
1010	0.2673364378
1015	0.2671131283
1020	0.2666806513
1025	0.266298817
1030	0.26608671
1035	0.2658134753
1040	0.2653854422
1045	0.2653384102
1050	0.2651140128
1055	0.2650068252
1060	0.2649031326
1065	0.2648046014
1070	0.2645539568
1075	0.2645499989
1080	0.2642882676
1085	0.2641411305
1090	0.2639871886
1095	0.26382297
1100	0.2637036309
1105	0.2636244958
1110	0.263617691
1115	0.2635756353
1120	0.263569872
1125	0.2635012451
1130	0.2633413547
1135	0.2632314127
1140	0.2630400442
1145	0.2629176962
1150	0.2628732333
1155	0.2628696458
1160	0.2624385575
1165	0.2624210825
1170	0.2623867112
1175	0.2620168663
1180	0.2617744154
1185	0.2616115161
1190	0.2616089932
1195	0.2616059611
1200	0.261507592
1205	0.2611354326
1210	0.2611194158
1215	0.2610402807
1220	0.2609580673
1225	0.2608628228
1230	0.2607558203
1235	0.260689832
1240	0.2604528202
1245	0.2604510611
1250	0.2603862995
1255	0.2602510825
1260	0.2601661378
1265	0.2601643325
1270	0.2599997435
1275	0.259941671
1280	0.2597285225
1285	0.259507759
1290	0.2593618255
1295	0.259218762
1300	0.2590356103
1305	0.2587574455
1310	0.2587558253
1315	0.2587225187
1320	0.2586375046
1325	0.2584774754
1330	0.2583473966
1335	0.2581751002
1340	0.2581142502
1345	0.2579828059
1350	0.2579749364
1355	0.257881937
1360	0.2576414766
1365	0.2574966541
1370	0.2574863079
1375	0.2573279452
1380	0.2572463567
1385	0.2570520024
1390	0.256880817
1395	0.2566595443
1400	0.2564109828
1405	0.2562684517
1410	0.2562377374
1415	0.2560991874
1420	0.2560971737
1425	0.2560652327
1430	0.2556362275
1435	0.255575771
1440	0.2554005119
1445	0.2553183216
1450	0.2550323104
1455	0.2548044875
1460	0.2546861437
1465	0.2546474209
1470	0.2544375591
1475	0.2543516192
1480	0.2540456333
1485	0.2539115967
1490	0.2537285838
1495	0.2535477697
1499	0.2535327945
